,DSP,Layer type,Kernel size,Latency (s),Total_Instructions,Load_Ratio,Store_Ratio,Branch_Ratio,MAC_Ratio
0,SIMD,GroupConv,7,0.3812000000000003,21508095.0,0.3083514834763376,0.1182231620234149,0.09636567069282519,0.14930490124764653
1,SIMD,Conv,7,0.5567759999999997,32984737.0,0.3410075393355418,0.11206522580428639,0.0740725020787645,0.19471211791077794
2,SIMD,DepthwiseConv,7,0.20645799999999986,10792974.0,0.09027298685237266,0.13773617911059546,0.16607906217507798,0.04933579938207949
3,SIMD,GroupConv,11,0.9417820000000005,56316847.0,0.3050934474367857,0.11980633432834051,0.10593948911948142,0.14080788294131594
4,SIMD,Conv,11,1.4139700000000013,86879469.0,0.33772646561640474,0.11219219122989806,0.0786957157852795,0.18254844536400194
5,SIMD,DepthwiseConv,11,0.4746659999999999,24677134.0,0.06859961938854002,0.1379216484377805,0.18896485304979097,0.045479511518639076
6,SIMD,GroupConv,5,0.19347400000000006,10872211.0,0.31055366751068386,0.11770255378597785,0.0909082798337891,0.15069611875634129
7,SIMD,Conv,5,0.2857980000000001,16570419.0,0.3430082244751928,0.11246438608462465,0.0714669918726859,0.19774997844049688
8,SIMD,DepthwiseConv,5,0.11684,6117742.0,0.1183498748394424,0.13854899405695761,0.14873248986309,0.05490130182018137
9,SIMD,GroupConv,9,0.6287559999999999,36443443.0,0.3065904887197403,0.11900651099293774,0.101389487266612,0.14566175868728978
10,SIMD,Conv,9,0.9414079999999998,56084943.0,0.3392712728619516,0.11207161251817623,0.07649728733788674,0.18929914932783296
11,SIMD,DepthwiseConv,9,0.3256319999999999,16983790.0,0.07644571676875421,0.13769311796719108,0.17872306475763067,0.046787201207739854
12,SIMD,GroupConv,3,0.07519599999999999,4050031.0,0.3140393246372682,0.11871390614047152,0.08485910354760247,0.14563444082279864
13,SIMD,Conv,3,0.10962800000000003,6068565.0,0.34585573360423755,0.11480638338717637,0.06872827431196667,0.19438664659602395
14,SIMD,DepthwiseConv,3,0.05701199999999997,2974222.0,0.18543672933627686,0.14175908859526962,0.12017092200918425,0.06885834345923068
15,SIMD,GroupConv,1,0.015238000000000109,708627.0,0.32691528829694605,0.13651046319149568,0.07388654397870813,0.09248306937218029
16,SIMD,ShiftConv,1,0.026207999999999884,1349945.0,0.3077577234628077,0.12556659715766197,0.06947912692739334,0.09709432606513599
17,SIMD,Conv,1,0.019072000000000013,940759.0,0.3595245966288922,0.13999121985545715,0.06480086823511653,0.13932579970002945
18,SIMD,DepthwiseConv,1,0.026529999999999943,1381614.0,0.33410344712777956,0.15100527354239318,0.07166328656194856,0.10079805213322969
19,NAIF,GroupConv,7,2.1874499999999992,105989616.0,0.42908963836608294,0.2461237995239081,0.11280410714951547,0.06059582289646186
20,NAIF,Conv,7,4.044431999999998,195632112.0,0.43728779557417446,0.2447727548941454,0.11720865130771578,0.06565924105547662
21,NAIF,DepthwiseConv,7,0.4972839999999994,25074973.0,0.39895448740862055,0.14965511627868952,0.09271076782415678,0.04247103277040418
22,NAIF,AddConv,7,4.558663999999997,233914272.0,0.28505220921278374,0.1419556263758032,0.11418925306105307,0.054913519770183154
23,NAIF,GroupConv,11,4.975836000000002,229947504.0,0.42952414912927256,0.24703533637834138,0.11328902269798066,0.06897101174883812
24,NAIF,Conv,11,9.25829,426993648.0,0.4380288462745469,0.24548959800919568,0.11748712477334089,0.07428547040118967
25,NAIF,DepthwiseConv,11,0.922078,44587037.0,0.40192051784019645,0.14236868890839283,0.09192232262484722,0.050342165594004375
26,NAIF,AddConv,11,10.483472,527225760.0,0.26654264389509347,0.1313435197096591,0.11395321806734178,0.06016288733691616
27,NAIF,GroupConv,5,1.1515460000000013,58314672.0,0.42834101853475226,0.2448658375374211,0.11216443093429386,0.056191690489144824
28,NAIF,Conv,5,2.1548960000000004,106831344.0,0.4363095441352867,0.24375680418286227,0.11681530469185149,0.06134529207083644
29,NAIF,DepthwiseConv,5,0.3446319999999999,17430941.0,0.39638921386975035,0.15736373612876092,0.09350086148533232,0.03853744901092833
30,NAIF,AddConv,5,2.305118367346937,125745696.0,0.294473856186696,0.14708548752237213,0.11416082185429233,0.05211788719989271
31,NAIF,GroupConv,9,3.464643999999998,163868080.0,0.42938347724584314,0.24670834612817824,0.11311205940778704,0.06478889604369564
32,NAIF,Conv,9,6.432549999999996,303607280.0,0.43775819538978117,0.2452348145275041,0.11738801520174351,0.06993792770713535
33,NAIF,DepthwiseConv,9,0.6953839999999997,34225565.0,0.4007071614449608,0.14514407578077965,0.09222906911836225,0.04643452927658024
34,NAIF,AddConv,9,7.1403479999999995,368837664.0,0.2757541051989745,0.13667291581154792,0.11409446514659631,0.05756913155159772
35,NAIF,GroupConv,3,0.457754,23303536.0,0.4255823665558737,0.24102260704126618,0.11030360371061285,0.0506209873042443
36,NAIF,Conv,3,0.8263259999999997,41828336.0,0.43342749757006827,0.24052525063392433,0.1155683553847325,0.05640425189278388
37,NAIF,DepthwiseConv,3,0.2302080000000001,11656733.0,0.3929084589996185,0.17057729640028643,0.0947847051142031,0.03513849034716674
38,NAIF,AddConv,3,0.8677379999999999,48396192.0,0.30434700316917496,0.15175423306032013,0.11365323949454535,0.04874962063130917
39,NAIF,GroupConv,1,0.07719600000000007,3874224.0,0.39993712289222305,0.212532625888436,0.09753901684569606,0.033831807350323574
40,NAIF,ShiftConv,1,0.14385400000000007,7183740.0,0.4496696706729364,0.03885566571173233,0.04355168756107543,0.036491298404452276
41,NAIF,Conv,1,0.12134799999999987,6106608.0,0.411098108802792,0.21229772731441088,0.10472851704252181,0.042927923325027574
42,NAIF,DepthwiseConv,1,0.1623980000000001,8183197.0,0.39004376895729137,0.18910433171778707,0.09642979388129114,0.03403657519182295
43,NAIF,AddConv,1,0.1265460000000001,6704160.0,0.31643457196725616,0.15207378702178945,0.10768716737070715,0.039101692083721155
44,IM2COL,GroupConv,7,0.7149419999999997,39677391.0,0.40814717378972826,0.19038308239571497,0.12392019424865915,0.16186870754682434
45,IM2COL,Conv,7,1.4345460000000003,80824287.0,0.42275221060719037,0.2165889072426955,0.09587947246599281,0.15892569519357466
46,IM2COL,DepthwiseConv,7,0.2310740000000003,10607560.0,0.302658198492396,0.11542579066250863,0.19870884538951464,0.10039632111437503
47,IM2COL,AddConv,7,1.9315560000000005,110767291.0,0.33848015656535285,0.12801623901770787,0.06996099597669135,0.11596434185611708
48,IM2COL,GroupConv,11,1.7559500000000008,103543959.0,0.40481464495673763,0.1899929671416176,0.1284561081926566,0.15316887777103444
49,IM2COL,Conv,11,3.5402480000000014,211945587.0,0.42113745921022644,0.21589690376521026,0.09731253333432227,0.14965833659938388
50,IM2COL,DepthwiseConv,11,0.5060800000000001,22722248.0,0.26202341423260583,0.10598115116074783,0.23207879783725624,0.09878459208789553
51,IM2COL,AddConv,11,4.752328000000003,290311287.0,0.33743934316959573,0.1276329018513152,0.07104429942470683,0.10926004402991056
52,IM2COL,GroupConv,5,0.369174,20033415.0,0.40902916452337257,0.19033040547505256,0.12099574635677442,0.16356672090105456
53,IM2COL,Conv,5,0.7351220000000004,40530675.0,0.4232327736954788,0.21681183449325728,0.09500947122148841,0.16169481509992123
54,IM2COL,DepthwiseConv,5,0.13915799999999995,6522152.0,0.32697444033809697,0.12712399220380022,0.1727853015385106,0.10299422644550449
55,IM2COL,AddConv,5,0.9926359999999996,55531611.0,0.33886115783674997,0.12824634243008004,0.06934425151108978,0.118015664987641
56,IM2COL,GroupConv,9,1.1773080000000002,67140511.0,0.40653826718715325,0.19021755732541268,0.12634324454277687,0.15812855520268532
57,IM2COL,Conv,9,2.368925999999999,137192223.0,0.4219663821614728,0.21625122292828508,0.09663645438561047,0.15477308797598535
58,IM2COL,DepthwiseConv,9,0.353088,16011944.0,0.28114019134715934,0.10933850380690814,0.2174499236320087,0.09925390695845551
59,IM2COL,AddConv,9,3.183459999999999,187980335.0,0.3379637875419256,0.12781461422547205,0.07052743043574213,0.11295683668187952
60,IM2COL,GroupConv,3,0.135962,7374631.0,0.406279175188562,0.18934316849209135,0.11645192823885019,0.159960274622554
61,IM2COL,Conv,3,0.2691820000000001,14590107.0,0.4221672945921507,0.21650478642822837,0.09378039516776676,0.16170518831698766
62,IM2COL,DepthwiseConv,3,0.07754599999999996,3771848.0,0.3532615842419949,0.1497753886158721,0.13492166174246684,0.10859398363878926
63,IM2COL,AddConv,3,0.3673399999999999,19943759.0,0.3385047924014726,0.12858879812978086,0.068606224132572,0.11829745836780318
64,IM2COL,GroupConv,1,0.02293799999999997,1154319.0,0.3643802103231429,0.17945126087329413,0.09509849530329138,0.11354920087081648
65,IM2COL,ShiftConv,1,0.04300600000000012,2297287.0,0.3842619576918339,0.17721555904856467,0.08451055527672424,0.11411025265889721
66,IM2COL,Conv,1,0.03642199999999986,1871127.0,0.4010342429990054,0.2104325361132622,0.08730674080380434,0.1400995229078518
67,IM2COL,DepthwiseConv,1,0.046074,2375848.0,0.37329029466531527,0.1817498425825221,0.09164390987975662,0.11723308898549066
68,IM2COL,AddConv,1,0.05485000000000012,2485207.0,0.32804108470642485,0.1310482386376668,0.06573375980350933,0.10548175665045205
