DSP,Optimization level,Latency (s),Consumption (J)
1,O0,1.0833520000000012,0.0820538688629151
1,Os,0.10956999999999983,0.00714749757385254
0,O0,1.25716,0.06387874594116211
0,Os,0.8255099999999999,0.04565363700256347
