DSP,Frequency (MHz),Power (W)
0,10,0.016158845432361423
0,20,0.02158974523556257
0,40,0.03283635908526948
0,80,0.052088997698975806
1,10,0.017573869805969092
1,20,0.024663373220437722
1,40,0.037330068397221236
1,80,0.06274889855123932
